Site,Treatment,Plot,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
CAR,closed,1,12.25,4.245614035,3.742268041,5.2,6.081081081,9.333333333,8.333333333,9,10.52631579,10.52631579
CAR,closed,10,3.443526171,5.01980198,3.114814815,3.095238095,3.259985476,2.525411596,2.478873239,3.010416667,3.257627119,3.045606229
CAR,closed,11,6.87012987,5.538461538,5.444444444,10.37142857,9.87654321,8.528957529,11.37634409,10.38461538,11.32820513,11.57407407
CAR,closed,12,5.297297297,5.068965517,4.521367521,5.627906977,5.237623762,4.521367521,6.811320755,6.811320755,4.84,6.138686131
CAR,closed,14,10.7037037,10.7037037,11.64516129,12.6,12.6,14.23529412,13.52,11.07692308,11.21538462,9.959349593
CAR,closed,15,4.84,3.92,7.352941176,6.877192982,6.839857651,6.516224189,7.291139241,6.4,4.733990148,5.401869159
CAR,closed,2,15.05882353,14.14285714,15.06976744,14.41052632,15.04395604,12.81333333,2.323420074,15.38202247,12.48780488,13.44186047
CAR,closed,3,8.576470588,9.11627907,8.533333333,12.29787234,10.57281553,14.25423729,12.93846154,13.06666667,13.06666667,6.818181818
CAR,closed,4,12.51724138,11.46315789,7.638418079,4.565644172,4.701881331,4.235984355,5.066957787,4.856502242,5.770870337,6.228373702
CAR,closed,5,2.105815062,2.105815062,2.358490566,2.473429952,2.701846966,2.506963788,2.553925165,3.01863354,3.472630174,3.371571072
CAR,closed,8,7.281800391,7.594936709,8.106753813,6.849462366,6.260869565,6.981818182,6.35313977,5.869619464,5.161272628,4.82469448
CAR,closed,9,4.682451253,4.210526316,2.389524383,3.285067873,3.33208756,6.901492537,8.889108911,12.18018018,11.37914692,11.37914692
CAR,open,1,7.048780488,6,5.73015873,5.897959184,4.737704918,4.413793103,5.714285714,4.129032258,3.072727273,4.446153846
CAR,open,10,5.121212121,5.4,2.828054299,4.101694915,4.651162791,5.538461538,6.259259259,6.897959184,6.127659574,7.077669903
CAR,open,11,8.005847953,10.26760563,6.323308271,5.368715084,9.846153846,10.64556962,9.382978723,9.523809524,7.666666667,7.666666667
CAR,open,12,4.737704918,10,9.307692308,7.41025641,12.56521739,7.810810811,11.56,10.66666667,4.965517241,4.898550725
CAR,open,14,5.4,4.454545455,5.333333333,8.166666667,7.363636364,6.4,9.307692308,9,10.28571429,11.26666667
CAR,open,15,6.368421053,4.571428571,4.172413793,9.090909091,10.7037037,10.28571429,9,7,6,7
CAR,open,2,7.025806452,6.567567568,9.692307692,10.70700637,10.75609756,8.497206704,3.156803237,6.956521739,5.837837838,5.837837838
CAR,open,3,5.070175439,4.84,4.567567568,5.487804878,7.75862069,6.368421053,7.529411765,6.76,6,6
CAR,open,4,9.969230769,10.50909091,10.07284768,9.573426573,10.50909091,9.481481481,8.98245614,8.490566038,8.657657658,7.443298969
CAR,open,5,11.75555556,9.8,8.075630252,7.492610837,8.447236181,5.825531915,7.22,7.822857143,5.968944099,7.020512821
CAR,open,8,4.063736264,3.371929825,4.270588235,4.462626263,4.432624113,4.07444668,2.824104235,2.451720311,2.216117216,2.455661664
CAR,open,9,3.721518987,4.64516129,3.13832853,3.831234257,3.980099502,5.757793765,6.76,10.28571429,10.66666667,10.17757009
CBO,closed,1,12.30232558,10.9869281,9.716763006,9.174603175,11.87878788,11.87878788,15.42857143,16.90123457,15.80487805,15.80487805
CBO,closed,11,15.51724138,17.85245902,13.55445545,12.57024793,10.45038168,10.45038168,8.330708661,9.975369458,11.16455696,10.32960894
CBO,closed,12,3,2.722222222,3.107526882,2.488054608,2.964912281,2.964912281,3.082191781,3.571428571,2.964912281,1.89785832
CBO,closed,14,9.618181818,10.37254902,11.07692308,11.07692308,9.756756757,9.756756757,8.695652174,10.28571429,11.36363636,4.735700197
