Site,Latitude,Longitude,Year,Month,Season,Percent_C1,Percent_C2,Percent_C3,Percent_C4,Percent_C5,Percent_C6
SRS-1,25.7463,-80.65368,2019,1,Dry,0.245744215,0.167875219,0.132778331,0.19123624,0.08886826,0.173497736
SRS-1,25.7463,-80.65368,2019,2,Dry,0.237414072,0.167113076,0.129816675,0.189542698,0.086524112,0.189589367
SRS-1,25.7463,-80.65368,2019,3,Dry,0.241156837,0.177895191,0.131890116,0.186388274,0.090167267,0.172502315
SRS-1,25.7463,-80.65368,2019,5,Dry,0.232685248,0.166182083,0.126354838,0.189534941,0.085106046,0.200136844
SRS-1,25.7463,-80.65368,2019,6,Wet,0.236682188,0.169954982,0.128218062,0.18349163,0.086900135,0.194753003
SRS-1,25.7463,-80.65368,2019,7,Wet,0.242820187,0.181679837,0.132253338,0.169057351,0.089968973,0.184220314
SRS-1,25.7463,-80.65368,2019,9,Wet,0.242056779,0.174146554,0.132695668,0.170360848,0.091717301,0.189022851
SRS-1,25.7463,-80.65368,2019,10,Wet,0.239671945,0.172389874,0.129871419,0.182296045,0.087589048,0.188181671
SRS-1,25.7463,-80.65368,2020,2,Dry,0.240278559,0.168684435,0.131509556,0.191532548,0.0881438,0.179851102
SRS-1,25.7463,-80.65368,2020,3,Dry,0.245614409,0.169440331,0.132297,0.191757265,0.088626134,0.172264861
SRS-1,25.7463,-80.65368,2020,5,Dry,0.242042993,0.170494919,0.13323663,0.175856037,0.093861848,0.184507573
SRS-1,25.7463,-80.65368,2020,6,Wet,0.243381834,0.176278953,0.130286455,0.169529021,0.094398933,0.186124803
SRS-1,25.7463,-80.65368,2020,7,Wet,0.236474671,0.17641753,0.130928347,0.181709427,0.092157094,0.182312931
SRS-1,25.7463,-80.65368,2020,8,Wet,0.245577203,0.171156322,0.129172813,0.181295285,0.089156467,0.183641911
SRS-1,25.7463,-80.65368,2020,10,Wet,0.244531896,0.169528934,0.129888025,0.181530579,0.08661603,0.187904536
SRS-1,25.7463,-80.65368,2020,11,Wet,0.242563415,0.170085565,0.131212344,0.180761939,0.085362146,0.190014591
SRS-1,25.7463,-80.65368,2020,12,Dry,0.246423202,0.172618643,0.13123521,0.177658666,0.089483931,0.182580348
SRS-1,25.7463,-80.65368,2021,1,Dry,0.245644045,0.17353665,0.130070484,0.189281244,0.087013393,0.174454184
