Site,Treatment,Plot,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
CAR,closed,1,2.578947368,2.781609195,2.562352941,2.74796748,2.922077922,3.469026549,3.078817734,2.549132948,2.247191011,2.247191011
CAR,closed,10,2.306273063,2.617900172,1.976498237,2.051966974,2.126480341,1.880597015,1.872340426,2.056939502,2.109769484,2.091673033
CAR,closed,11,3.167664671,2.969072165,2.920529801,3.193548387,3.187250996,3.362252664,3.196374622,3.52173913,3.737732657,3.65497076
CAR,closed,12,3.62962963,3.528,3.206060606,3.666666667,3.503311258,3.206060606,4.149425287,4.149425287,3.666666667,3.704845815
CAR,closed,14,3.107526882,3.107526882,3.438095238,3.366412214,3.366412214,2.659340659,2.620155039,2.642201835,2.43812709,2.546777547
CAR,closed,15,2.37254902,2.512820513,2.802690583,3.27348643,3.090032154,2.981106613,3.173553719,3.174603175,2.549071618,2.639269406
CAR,closed,2,2.534653465,2.503448276,2.4,2.578154426,2.578154426,2.496103896,1.447178003,2.549348231,2.680628272,2.819512195
CAR,closed,3,2.650909091,2.613333333,2.497560976,2.524017467,2.23613963,2.451895044,2.279132791,2.279069767,2.279069767,1.825969342
CAR,closed,4,2.526682135,2.217922607,2.462659381,2.162115049,2.211708645,1.996926859,2.158090515,2.116612378,2.276804485,2.292993631
CAR,closed,5,1.977618621,1.977618621,2.158894646,2.233369684,2.367630058,2.264150943,2.294660514,2.636528029,2.874033149,2.822546973
CAR,closed,8,2.589422408,2.627737226,2.589422408,2.337284787,2.222865412,2.282317979,2.162491381,2.106335348,2.076583536,2.098808433
CAR,closed,9,3.165725047,3.076923077,2.094459103,2.466591166,2.503409547,2.975546976,2.928245271,2.682539683,2.432624113,2.432624113
CAR,open,1,2.47008547,2.322580645,3.085470085,2.513043478,2.20610687,2.169491525,2.197802198,1.882352941,1.742268041,2.700934579
CAR,open,10,2.194805195,2.793103448,1.93498452,2.659340659,2.739726027,2.796116505,3.100917431,3.188679245,3.164835165,3.298642534
CAR,open,11,3.555844156,3.488038278,3.737777778,3.469314079,3.968992248,3.985781991,3.266666667,3.076923077,3.648275862,3.648275862
CAR,open,12,3.107526882,2.380952381,3.102564103,3.32183908,3.042105263,3.32183908,3.042105263,3.047619048,3.031578947,2.964912281
CAR,open,14,2.793103448,2.882352941,2.666666667,2.8,2.454545455,2.666666667,2.688888889,2.612903226,3.428571429,3.188679245
CAR,open,15,2.469387755,2.461538462,2.951219512,2.777777778,2.513043478,3.130434783,2.612903226,2.333333333,2.571428571,3.266666667
CAR,open,2,3.102564103,3.556097561,3.472440945,3.251450677,2.836012862,2.897142857,2.120625212,2.730375427,2.644897959,2.644897959
CAR,open,3,3.042105263,3.27027027,3.072727273,2.848101266,2.368421053,3.27027027,3.555555556,3.31372549,2.88,2.88
CAR,open,4,3.502702703,3.54601227,3.433408578,3.48346056,3.729032258,3.58041958,3.436241611,3.333333333,3.302405498,3.373831776
CAR,open,5,2.828877005,3.04137931,3.171617162,2.73070018,2.769357496,2.578154426,3.008333333,3.206088993,3.150819672,2.811088296
CAR,open,8,2.177856302,1.989648033,2.32196162,2.327713383,2.200704225,2.102803738,1.891636364,1.821104699,1.708074534,1.78041543
CAR,open,9,2.817891374,3.031578947,2.624096386,2.801104972,3.03030303,2.658914729,3.086757991,3.340206186,3.390728477,3.371517028
CBO,closed,1,2.483568075,2.377652051,2.377652051,2.349593496,2.630872483,2.630872483,3.392670157,3.44836272,3.130434783,3.130434783
CBO,closed,11,3.333333333,3.27027027,3.593175853,3.52900232,3.574412533,3.574412533,3.586440678,3.571428571,3.834782609,3.82815735
CBO,closed,12,2.027027027,2.130434783,2.603603604,2.344051447,2.315068493,2.315068493,2.472527473,2.848101266,2.315068493,1.775038521
CBO,closed,14,2.740932642,2.232067511,2.23255814,2.23255814,2.187878788,2.187878788,2.469135802,2.304,2.240143369,3.163372859
CBO,closed,15,3.048780488,3.218978102,3.093567251,2.857142857,2.857142857,2.857142857,3.102564103,3.327044025,3.102564103,3.45174538
CBO,closed,2,2.242236025,2.150537634,2.705627706,2.555555556,2.976744186,2.976744186,2.796116505,2.781609195,2.861386139,2.7
CBO,closed,4,2.640718563,2.920529801,3.019323671,2.60591133,2.513043478,2.513043478,2.816901408,3.04137931,3.139130435,3.333333333
CBO,closed,5,3.62962963,3.62962963,3.461538462,3.161290323,3.31372549,3.31372549,3.50877193,3.169014085,3.047619048,3.175824176
CBO,closed,6,3.033613445,2.773584906,3.096774194,3.733333333,3.663316583,3.663316583,3.250746269,3.107526882,3.016620499,3.085642317
CBO,closed,9,2.540069686,2.572016461,2.348623853,2.408521303,2.571428571,2.571428571,2.490039841,2.342618384,2.342618384,2.461538462
CBO,open,1,4.697247706,4.805714286,4.740740741,4.639175258,4.403141361,4.403141361,5.237623762,5.269592476,5.226804124,3.735056543
CBO,open,11,4.102439024,4.338645418,4.518672199,4.697247706,4.497326203,4.497326203,4.422382671,4.144414169,4.04290429,3.968115942
CBO,open,12,1.180327869,1.411764706,1.939393939,2.847058824,2.578947368,2.578947368,3.76744186,3.646464646,3.813559322,1.555004377
CBO,open,14,2.922077922,3.555555556,3.8,3.52173913,3.358208955,3.358208955,3.306122449,3.175824176,3.358208955,2.438818565
CBO,open,15,2.564102564,2.712820513,3.18699187,2.939130435,2.985074627,2.985074627,3.232189974,3.371929825,3.226666667,4.096989967
CBO,open,2,3.176470588,3.278688525,3.218978102,3.218978102,3.260869565,3.260869565,3.12195122,3.047619048,2.919191919,2.919191919
CBO,open,4,3.947368421,3.358208955,2.315068493,2.285714286,2.482758621,2.482758621,2.390243902,2.079136691,2.027027027,1.8
CBO,open,5,4.129032258,3.657142857,4.172413793,4.545454545,4,4,3.12195122,3.6,3.666666667,4.567567568
CBO,open,6,4.396946565,4.326126126,4.390041494,4.289320388,3.93676815,3.93676815,4.456790123,4.339882122,4.571428571,4.5
CBO,open,9,3.033613445,2.714285714,2.56,2.586206897,3.042105263,3.042105263,3.139130435,3.076923077,3.076923077,3.64556962
ITA,closed,1,3.611940299,3.704845815,3.681992337,4.204633205,4.444897959,4.180094787,3.878787879,4.556485356,4.413793103,4.871886121
ITA,closed,10,2.322580645,2.6,2.461538462,2.560283688,2.173913043,2.048484848,2.383783784,2.560283688,3.183406114,3.238921002
ITA,closed,12,3,2.314285714,1.882352941,1.975609756,2,1.975609756,1.861538462,1.742268041,2.388429752,3.029585799
ITA,closed,14,1.895081967,2.130434783,3.472440945,2.947368421,1.294044836,1.546129374,2.312242091,3.861313869,3.446808511,3.252252252
ITA,closed,15,2.245614035,2.14159292,2.022318215,2.148148148,2.184415584,2.097841727,2.116804823,2.180645161,2.560606061,3.193548387
ITA,closed,2,2.444444444,2.482758621,2.853881279,2.844444444,2.492307692,2.533333333,2.523659306,2.28975265,2.647244094,3.255319149
ITA,closed,4,1.967479675,2.253333333,2.229061554,2.249584027,2.409982175,1.891252955,2.162573099,2.469387755,2.522167488,2.388059701
ITA,closed,6,3.358208955,3.342245989,3.4048583,3.487922705,3.367941712,3.446177847,3.266666667,2.96969697,2.996904025,2.996904025
ITA,closed,8,2.753303965,2.510040161,2.716981132,2.906976744,3.022857143,2.969072165,3.158878505,3.172661871,3.890025575,3.98820059
ITA,open,1,3.240506329,3.555555556,3.834782609,4.313609467,3.983606557,4.027624309,3.885057471,3.446808511,4.300813008,4.611764706
ITA,open,10,2.666666667,2,1.923076923,3,2.777777778,1,1,1,1,1.246153846
ITA,open,12,2.469387755,1.975609756,1.6,1.528301887,2.133333333,2.688888889,2.688888889,2.631578947,2.631578947,2.631578947
ITA,open,14,3.379310345,3.428571429,3.446808511,3.666666667,1.480384307,1.882352941,3.102564103,3.266666667,2.909090909,2.909090909
ITA,open,15,2.086705202,2.59602649,2.572016461,2.661417323,2.507109005,2.586206897,2.682539683,1.923076923,1.8,1.8
ITA,open,2,3.392523364,3.215223097,2.6900369,2.756962025,3.035476718,3.28962818,3.25203252,3.067605634,3.102564103,3.56206089
ITA,open,4,4.310344828,3.8,3.019323671,3.484536082,3.8,3.92,4.333333333,4.454545455,5.444444444,5.452830189
ITA,open,6,2.692307692,2.118387909,2.312101911,2.480825959,2.540785498,2.137829912,1.920454545,2.23857868,2.308900524,2.220183486
ITA,open,8,3.146853147,3.146853147,2.771863118,2.590296496,2.777777778,3.245398773,3.375,3.056603774,3.567901235,3.375
VGM,closed,1,2.793103448,2.909090909,2.688888889,2.941176471,3.789473684,3.379310345,2.96969697,3.072727273,3.130434783,3.072727273
VGM,closed,10,2.214559387,2.270440252,2.501930502,2.31641286,2.560283688,2.484573503,2.711864407,2.600849257,2.340080972,2.340080972
VGM,closed,11,4.209621993,3.992874109,4.306042885,4.590288316,4.279857398,4.100775194,4.013937282,3.750507099,3.391025641,3.597510373
VGM,closed,12,3.68852459,3.681992337,3.506849315,3.265536723,2.78111588,2.49490835,2.436090226,2.658252427,2.2,2.322580645
VGM,closed,14,4.336188437,4.050209205,3.702564103,3.816199377,3.578723404,3.072727273,3.12962963,2.719101124,3.348837209,3.557894737
VGM,closed,15,3.083916084,2.859459459,3.109452736,3.173584906,3.368421053,2.836879433,2.691411936,3.070175439,2.904522613,3.070175439
VGM,closed,4,4.046315789,3.757695343,3.630740968,3.712190651,3.629048086,3.769058296,3.722700199,3.84004128,3.94661191,3.878787879
VGM,closed,5,3.681992337,3.82160804,3.583287821,3.72236992,3.626752967,3.727634195,3.48346056,3.406044678,3.293010753,3.398791541
VGM,closed,6,3.225806452,2.854368932,2.898630137,2.947075209,2.94601227,3.017883756,3.206060606,3.160683761,3.051903114,3.015576324
VGM,closed,7,3.401301518,3.013852814,2.805008945,2.96969697,2.666666667,2.543328748,2.547770701,2.664652568,2.739130435,2.914600551
VGM,closed,8,2.945454545,2.977455717,2.787456446,2.713846154,2.512705531,2.381395349,2.360308285,2.568888889,2.971910112,3.324260355
VGM,closed,9,2.791237113,2.935627081,2.765291607,2.404965753,2.405811623,2.148875836,2.22593068,2.109375,2.110047847,2.070548712
VGM,open,1,2,3.769230769,2.272727273,1.814814815,1.814814815,1.684210526,1.814814815,2,2,2.133333333
VGM,open,10,2.040816327,2.773584906,2.640718563,2.828877005,2.187878788,1.795031056,1.562162162,1.6,1.470588235,1.975609756
